GRAPH_ID,EDGE_ID,FROM_NODE_ID,TO_NODE_ID,FROM_NODE_INDEX,TO_NODE_INDEX,REACH_LENGTH_M
Q_611E1000,Q_611E1000_E0005,Q_611E1000_N0005,Q_611E1000_N0007,4,6,4453.248299
Q_611E1000,Q_611E1000_E0006,Q_611E1000_N0006,Q_611E1000_N0007,5,6,831.6737695
Q_611E1000,Q_611E1000_E0007,Q_611E1000_N0007,Q_611E1000_N0009,6,8,3533.92036
Q_611E1000,Q_611E1000_E0008,Q_611E1000_N0008,Q_611E1000_N0009,7,8,1702.988664
Q_611E1000,Q_611E1000_E0009,Q_611E1000_N0009,Q_611E1000_N0010,8,9,1380.103301
Q_611E1500,Q_611E1500_E0001,Q_611E1500_N0009,Q_611E1500_N0010,8,9,3037.885011
Q_611E1500,Q_611E1500_E0002,Q_611E1500_N0006,Q_611E1500_N0009,5,8,2926.017802
Q_611E1500,Q_611E1500_E0003,Q_611E1500_N0001,Q_611E1500_N0006,0,5,3378.492316
Q_611E1500,Q_611E1500_E0004,Q_611E1500_N0008,Q_611E1500_N0009,7,8,6612.491442
Q_611E1500,Q_611E1500_E0005,Q_611E1500_N0002,Q_611E1500_N0008,1,7,558.4642438
Q_611E1500,Q_611E1500_E0006,Q_611E1500_N0005,Q_611E1500_N0006,4,5,10611.15276
Q_611E1500,Q_611E1500_E0007,Q_611E1500_N0003,Q_611E1500_N0005,2,4,3773.699109
Q_611E1500,Q_611E1500_E0008,Q_611E1500_N0004,Q_611E1500_N0005,3,4,1976.130387
